Fecha,Latitud,Longitud,Pofundidad (km),Magnitud,Escala de Magnitud,Gap,Dmin,RMS,Lugar,Tipo,Error Horizontal,Error de Profundidad,Error de Magnitud,Número de Estaciones
2002-06-21T11:20:58.200Z,9.891,-69.218,33,4.5,mb,,,0.61,"Lara, Venezuela",Sismo,,,,6
2002-08-09T13:47:54.990Z,10.871,-62.417,103.3,4.2,mb,,,0.82,"Costa Afuera de Sucre, Venezuela",Sismo,,10.9,,3
2002-09-10T22:58:09.350Z,10.767,-62.4,113.1,4.1,mb,,,1.05,"Costa Afuera de Sucre, Venezuela",Sismo,,7.2,,2
2002-09-13T20:18:59.750Z,10.306,-63.17,33,3.7,md,,,1.24,"Sucre, Venezuela",Sismo,,,,
2002-09-22T08:10:16.100Z,10.65,-62.59,85,3.7,md,,,,"Sucre, Venezuela",Sismo,,,,
2002-09-27T16:26:43.400Z,10.73,-62.34,43.6,4.5,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2002-10-04T15:43:46.450Z,10.371,-62.623,32.3,4.9,mb,,,0.98,"Golfo de Paria, Venezuela",Sismo,,3.6,,83
2002-10-15T23:12:21.180Z,10.558,-63.479,33,4.4,mb,,,1.11,"Sucre, Venezuela",Sismo,,,,16
2002-10-18T02:34:44.390Z,8.798,-71.841,33,4.1,mb,,,1.16,"Zulia, Venezuela",Sismo,,,,9
2002-11-24T15:09:31.410Z,10.78,-62.674,98.6,4.9,mb,,,0.8,"Costa Afuera de Sucre, Venezuela",Sismo,,,,68
2002-11-25T04:35:40.430Z,10.615,-62.87,33,4.5,mb,,,1.03,"Sucre, Venezuela",Sismo,,,,21
2003-01-25T03:12:18.400Z,11.049,-65.674,10,4.2,mb,,,0.89,"Costa Afuera de Miranda, Venezuela",Sismo,,,,8
2003-02-14T01:23:39.830Z,10.312,-62.389,33.8,4.8,mb,,,0.84,"Golfo de Paria, Venezuela",Sismo,,5.3,,71
2003-02-18T17:43:38.020Z,9.206,-70.313,33,4.6,mb,,,1.24,"Trujillo, Venezuela",Sismo,,,,18
2003-03-09T02:33:10.130Z,7.038,-72.882,200,4,mb,178.7,,0.38,Frontera Colombia-Venezuela,Sismo,,,,1
2003-04-22T13:28:55.370Z,7.088,-72.751,33,4.6,mb,101.5,,0.8,Frontera Colombia-Venezuela,Sismo,,,,20
2003-04-24T13:05:21.990Z,10.772,-63.008,121.5,4.5,mb,94.6,,0.84,"Costa Afuera de Sucre, Venezuela",Sismo,,,,42
2003-05-20T05:36:39.630Z,10.108,-72.682,134.9,4.2,mb,120.5,,1.16,"Zulia, Venezuela",Sismo,,,,12
2003-05-24T00:07:41.020Z,6.498,-65.147,13.2,4.5,mb,80.9,,0.95,"Bolivar, Venezuela",Sismo,,,,13
2003-06-01T16:15:06.410Z,9.786,-62.849,38.2,4.8,mb,48.4,,0.95,"Monagas, Venezuela",Sismo,,,,90
2003-06-17T00:57:48.290Z,8.275,-70.551,33,4.4,mb,79.5,,1.24,"Barinas, Venezuela",Sismo,,,,34
2003-06-30T13:47:58.550Z,7.016,-72.956,150,4.2,mb,183.2,,1.21,Frontera Colombia-Venezuela,Sismo,,,,1
2003-07-03T08:45:35.270Z,11.066,-62.349,129.6,4.4,md,153.2,,0.95,"Costa Afuera de Sucre, Venezuela",Sismo,,9.1,,
2003-08-14T16:27:36.140Z,10.908,-62.588,128,4.5,mb,69.8,,0.91,"Costa Afuera de Sucre, Venezuela",Sismo,,9.1,,28
2003-08-18T13:29:38.380Z,7.297,-72.777,100,4.1,mb,192.7,,1.19,Frontera Colombia-Venezuela,Sismo,,,,4
2003-08-28T09:41:35.850Z,10.851,-62.37,33,3.9,mb,176.2,,1.11,"Costa Afuera de Sucre, Venezuela",Sismo,,,,4
2003-09-02T00:02:02.110Z,10.39,-62.533,51.7,4.5,mb,122.2,,1.27,"Golfo de Paria, Venezuela",Sismo,,11,,1
2003-10-02T06:00:46.600Z,10.52,-63.43,0.1,4,mb,120.7,,,"Sucre, Venezuela",Sismo,,,,8
2003-11-18T13:19:09.520Z,7.005,-72.878,150,3.8,mb,193.8,,0.71,Frontera Colombia-Venezuela,Sismo,,,,1
2003-12-14T00:31:49.120Z,11.36,-62.567,119.5,3.8,mb,191.5,,1.22,"Costa Afuera de Sucre, Venezuela",Sismo,,10.5,,3
2003-12-20T12:12:44.230Z,10.48,-63.157,33,4.7,mb,82,,0.95,"Sucre, Venezuela",Sismo,,,,45
2004-01-15T10:56:20.240Z,10.851,-62.468,98,5.1,mwc,43.6,,0.87,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2004-02-22T12:17:39.830Z,7.976,-71.635,53.2,3.9,mb,168,,0.96,"Tachira, Venezuela",Sismo,,32,,2
2004-02-25T18:13:55.600Z,10.768,-62.666,119.6,4.5,mb,95.2,,1.01,"Costa Afuera de Sucre, Venezuela",Sismo,,,,17
2004-02-26T17:17:45.540Z,10.825,-72.484,42.6,4.6,mb,83.5,,1.03,"Zulia, Venezuela",Sismo,,10.8,,12
2004-03-12T11:03:44.780Z,11.128,-70.636,110.9,4.1,mb,143.3,,0.8,"Falcon, Venezuela",Sismo,,10.8,,3
2004-03-17T23:52:22.750Z,10.455,-63.622,10,4,mb,123.4,,0.99,"Sucre, Venezuela",Sismo,,,,6
2004-04-04T17:17:42.670Z,8.041,-71.919,26.2,4.6,mb,86.5,,0.87,"Tachira, Venezuela",Sismo,,10.8,,36
2004-04-26T07:17:47.000Z,10.936,-62.436,118.1,4.2,mb,106,,0.91,"Costa Afuera de Sucre, Venezuela",Sismo,,4.4,,12
2004-05-01T19:32:52.370Z,10.126,-62.948,10,4.5,mb,148.1,,0.97,"Sucre, Venezuela",Sismo,,0,,2
2004-05-30T13:12:37.540Z,10.907,-62.551,87.1,4.2,mb,62,,0.81,"Costa Afuera de Sucre, Venezuela",Sismo,,,,25
2004-06-06T21:45:48.230Z,8.603,-72.116,18.2,3.7,mb,85.9,,0.86,"Zulia, Venezuela",Sismo,,33.4,,1
2004-06-29T09:49:15.780Z,10.831,-62.687,107.7,4.4,mb,45.7,,0.99,"Costa Afuera de Sucre, Venezuela",Sismo,,,,11
2004-07-23T12:06:38.110Z,10.545,-62.503,38.3,4.4,mb,99,,0.89,"Sucre, Venezuela",Sismo,,6.1,,14
2004-09-13T02:59:38.000Z,9.19,-70.09,1.4,4.7,mb,51.3,,,"Trujillo, Venezuela",Sismo,,,,34
2004-11-04T21:28:32.820Z,10.91,-62.495,106,4.6,mb,59.3,,0.81,"Costa Afuera de Sucre, Venezuela",Sismo,,6.7,,37
2004-11-20T06:12:39.210Z,11.786,-69.358,13.3,3.9,mb,135.3,,0.82,"Costa Afuera de Falcon, Venezuela",Sismo,,22.2,,1
2004-11-28T17:29:52.970Z,9.977,-70.002,5,4.4,md,117.8,,1.21,"Lara, Venezuela",Sismo,,,,
2004-12-02T19:16:34.660Z,10.49,-61.48,49,5.8,mwc,28,,0.93,"Golfo de Paria, Trinidad y Tobago",Sismo,,,,
2004-12-11T04:45:22.200Z,10.99,-62.31,95.3,4.5,mb,101.4,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,8
2004-12-25T09:08:36.400Z,10.4,-72.57,9.4,4.4,mb,60.2,,,"Zulia, Venezuela",Sismo,,,,7
2005-01-12T13:52:45.330Z,8.902,-62.01,51,4.7,mb,62.4,,1.17,"Delta Amacuro, Venezuela",Sismo,,5.6,,16
2005-01-19T20:18:59.930Z,10.67,-62.566,96,3.5,md,278.7,,,"Sucre, Venezuela",Sismo,,,,
2005-01-21T06:05:17.610Z,10.873,-62.657,99.4,4.3,mb,65.2,,0.68,"Costa Afuera de Sucre, Venezuela",Sismo,,4.2,,13
2005-01-24T14:03:22.360Z,10.486,-62.205,5,3.4,md,275,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-01-24T20:45:30.960Z,10.965,-62.394,70,3.2,md,281.1,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-01-25T12:34:19.580Z,10.286,-62.012,4,3.7,md,283.7,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-01-25T20:28:02.810Z,10.356,-62.164,5,4,md,167.7,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-02-02T00:57:25.290Z,10.964,-62.317,109,3.1,md,260.8,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-02-03T05:40:20.080Z,10.759,-62.377,28,3.4,md,271,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-02-04T00:28:07.690Z,10.92,-62.252,73,2.9,md,257.9,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-02-21T11:52:51.950Z,11.237,-62.115,93,3.5,md,240.8,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-03-12T07:40:25.200Z,11.141,-62.324,112,3.6,md,252.6,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-03-13T01:34:57.490Z,11.352,-62.26,137.1,3.7,md,112,,0.74,"Costa Afuera de Sucre, Venezuela",Sismo,,6.3,,
2005-03-14T10:26:46.900Z,11.158,-62.085,106,3.6,md,239,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-03-15T10:23:30.390Z,10.652,-62.508,72,3.1,md,281.3,,,"Sucre, Venezuela",Sismo,,,,
2005-03-17T06:23:47.500Z,11.265,-61.773,16,3.4,md,205.6,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-03-22T15:46:05.040Z,10.825,-62.302,108,3.1,md,264.3,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-03-22T16:20:55.400Z,10.41,-62.39,8.5,4.5,mb,55.3,,,"Golfo de Paria, Venezuela",Sismo,,,,15
2005-03-23T18:13:22.170Z,10.765,-62.612,91.6,4.3,mb,70.5,,1.07,"Costa Afuera de Sucre, Venezuela",Sismo,,6.9,,5
2005-03-24T18:41:22.740Z,10.805,-62.399,101,3.3,md,270.3,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-03-25T11:40:02.010Z,10.921,-62.225,76,3.1,md,255.9,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-03-26T16:00:39.910Z,10.559,-62.351,5,4.4,mb,85.9,,,"Sucre, Venezuela",Sismo,,,,4
2005-03-28T00:45:05.500Z,9.72,-69.91,10.4,4.5,mb,62.7,,,"Lara, Venezuela",Sismo,,,,21
2005-03-28T00:51:17.600Z,9.72,-69.91,0.4,4.1,md,136.2,,,"Lara, Venezuela",Sismo,,,,
2005-04-01T15:52:54.600Z,10.903,-62.066,26,3,md,243.7,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-04-04T11:59:52.230Z,11.06,-62.078,122,3.1,md,240.4,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-04-05T03:45:39.990Z,9.591,-69.993,23.7,3.8,md,77.1,,1.06,"Lara, Venezuela",Sismo,,13.9,,
2005-04-06T22:17:53.840Z,8.712,-70.565,10,4.2,mb,81.5,,1.03,"Barinas, Venezuela",Sismo,,,,5
2005-04-09T13:36:01.000Z,10.215,-69.728,12.5,4,md,80.3,,,"Lara, Venezuela",Sismo,,,,
2005-04-12T07:50:54.540Z,11.063,-62.16,11,2.9,md,309,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-04-22T18:20:18.430Z,11.114,-62.218,78.4,3.2,md,246.6,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-04-26T00:53:40.800Z,9.185,-70.108,0.5,5.2,mw,62.3,,,"Trujillo, Venezuela",Sismo,,,,
2005-04-26T03:13:32.300Z,9.152,-70.084,2.9,3.6,mw,68.7,,,"Trujillo, Venezuela",Sismo,,,,
2005-05-03T00:43:22.370Z,10.991,-62.283,90,3.1,md,257.9,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-05-07T23:49:12.220Z,11.018,-62.189,19,3.3,md,250.3,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-05-09T02:19:16.570Z,10.835,-62.082,3,2.8,md,247.7,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-05-15T16:41:09.360Z,11.221,-62.623,133.9,3.6,mb,149.7,,0.82,"Costa Afuera de Sucre, Venezuela",Sismo,,18.7,,2
2005-05-22T04:45:44.900Z,10.856,-62.712,85.3,3.7,md,134.3,,1.35,"Costa Afuera de Sucre, Venezuela",Sismo,,22.4,,
2005-05-24T13:43:20.030Z,9.866,-70.641,19,4.5,mb,51.7,,0.98,"Trujillo, Venezuela",Sismo,,,,34
2005-06-03T06:08:33.800Z,10.388,-62.266,57,4,mw,75,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-06-04T23:31:28.500Z,10.303,-62.26,0.1,4.1,mw,40.4,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-06-11T05:05:43.310Z,10.439,-61.896,5,3,md,262.2,,,"Golfo de Paria, Venezuela",Sismo,,,,
